"node_id","cluster_id","doi","pmid"
39826,1,"10.1105/tpc.104.022830",15258262
930434,1,"10.1105/tpc.104.023614",15258266
2865445,1,"10.1038/ncb1759",18604195
2742865,1,"10.1134/s0006297908050040",18605976
418012,1,"10.1016/j.molcel.2004.06.006",15260969
5663104,1,"10.1016/j.molcel.2004.07.007",15260970
2847611,1,"10.1146/annurev.pathol.4.110807.092222",18817506
1988368,1,"10.1261/rna.032938.112",22461413
4447963,1,"10.1111/j.1349-7006.2010.01683.x",20726859
6352464,1,"10.1038/nature07415",18830242
6236312,1,"10.1016/j.pbi.2008.06.008",18691933
1086370,1,"10.1159/000258499",20130435
627177,1,"10.1007/s10555-010-9204-9",20130964
5658595,1,"10.1016/j.cell.2008.07.020",18692474
450519,1,"10.1002/jbt.20325",20143452
384302,1,"10.1016/j.critrevonc.2010.01.013",20144549
5361577,1,"10.1177/1947601910396213",21533017
3994169,1,"10.1111/j.1749-6632.2009.05121.x",20146715
1544212,1,"10.4331/wjbc.v1.i4.41",21537368
1533368,1,"10.18632/aging.100085",20157565
3951070,1,"10.1101/gad.1793309",19451215
4643316,1,"10.1016/j.ceb.2009.04.009",19450959
3382799,1,"10.1016/j.critrevonc.2011.03.010",21546262
540158,1,"10.1146/annurev-nutr-081810-160756",21548778
1221712,1,"10.1016/j.bbagrm.2011.04.005",21550428
2598,1,"10.1038/nature08025",19458619
4647578,1,"10.1016/s0092-8674(00)81725-0",9875855
2808984,1,"10.1083/jcb.200801079",18695042
6635225,1,"10.1242/dev.126.3.469",9876176
4500645,1,"10.1016/j.canlet.2009.04.031",19464788
1275496,1,"10.1038/nbt.1543",19465925
4584378,1,"10.3390/ijms14011516",23344055
5049600,1,"10.1093/jmcb/mjt004",23362311
4632590,1,"10.1002/wrna.121",22072587
4661549,1,"10.1002/wrna.113",22086843
2146029,1,"10.1038/nrg3079",22094948
521730,1,"10.1126/science.1215704",22422859
4216248,1,"10.1016/j.cell.2012.02.005",22424228
4463407,1,"10.3390/ijms130810268",22949860
5149079,1,"10.1007/s13402-012-0095-3",22956261
3467849,1,"10.1016/j.pharmthera.2012.08.016",22964086
1923973,1,"10.1016/j.bbagrm.2013.10.005",24185199
596782,1,"10.1007/978-94-007-6621-1_18",23696365
475872,1,"10.1016/j.jgg.2013.04.002",23706297
1538950,1,"10.3748/wjg.v19.i20.2985",23716978
3839727,1,"10.1038/ncb2895",24366030
3015773,1,"10.1111/ppl.12191",24641625
1637427,1,"10.1261/rna.068692.118",30333195
6685978,1,"10.3389/fgene.2018.00435",30333855
4130065,1,"10.1007/s00018-017-2656-0",28905147
5124884,1,"10.1007/s13238-015-0212-y",26399619
1603350,1,"10.1016/bs.acr.2017.06.005",28882219
5857504,1,"10.1101/pdb.top097436",30936388
2449129,1,"10.1016/j.semcdb.2017.10.008",29042235
2449254,1,"10.1111/nph.14834",29048752
2581812,1,"10.1016/j.cyto.2008.11.010",19121586
3078820,1,"10.1038/emboj.2008.275",19131968
212775,1,"10.1007/s00216-008-2570-2",19132354
2209442,1,"10.1016/j.cell.2008.12.027",19135886
287150,1,"10.1016/j.cell.2008.10.053",19135890
485672,1,"10.1038/nrm2619",19145236
4504635,1,"10.1038/leu.2008.382",19148134
6143135,1,"10.1038/nrg2504",19148191
1810210,1,"10.1111/j.1582-4934.2008.00483.x",18752632
6131006,1,"10.1038/nature07315",18754009
6446549,1,"10.1111/j.1742-4658.2008.06624.x",18754771
4565928,1,"10.1073/pnas.0801613105",18755897
6000663,1,"10.1159/000126010",18756081
5370491,1,"10.1111/j.1467-7652.2010.00505.x",20331529
4297912,1,"10.1038/cr.2008.282",18766170
5921665,1,"10.1073/pnas.0803055105",18768788
4067053,1,"10.4161/cc.7.18.6734",18769156
1720947,1,"10.1186/bcr2484",20346098
2138196,1,"10.1038/20215",10335848
6001070,1,"10.1126/science.1088060",12893888
1715319,1,"10.1073/pnas.1630797100",12902540
3964831,1,"10.1016/s1097-2765(00)00106-4",11106747
339013,1,"10.1016/j.cell.2008.04.001",18423194
6378152,1,"10.1038/labinvest.2008.32",18427554
905640,1,"10.1261/rna.973808",18430891
5271017,1,"10.1038/35888",9486653
313396,1,"10.1007/978-1-4020-6554-5_14",18437900
2528051,1,"10.1016/j.bbagrm.2008.03.012",18439437
2093401,1,"10.1007/978-1-61779-117-8_12",21594785
4435296,1,"10.1016/j.bbagrm.2011.05.001",21605713
3577302,1,"10.1007/s00018-011-0726-2",21607569
2392340,1,"10.1105/tpc.001677",12045284
1448263,1,"10.1093/emboj/cdf312",12065420
1731936,1,"10.1002/embj.201387262",24668229
1810457,1,"10.1016/j.semcdb.2010.07.001",20637886
3689588,1,"10.1093/nar/gkq645",20660014
341590,1,"10.1038/nrg2843",20661255
455174,1,"10.1016/j.ejca.2011.02.008",21402473
612725,1,"10.1016/j.trsl.2011.01.007",21420027
314984,1,"10.1016/j.neuroscience.2013.02.065",23500144
132386,1,"10.1016/j.jmb.2013.03.007",23500488
5473827,1,"10.1038/ng.786",21423181
6275191,1,"10.1371/journal.pgen.1003353",23516374
14020667,1,"10.1016/j.cellsig.2021.109995",33785398
3363984,1,"10.3389/fpls.2020.526455",33584737
261454,1,"10.1261/rna.029785.111",22106413
6502514,1,"10.1038/nrc3166",22113163
5506379,1,"10.1016/j.bbagrm.2008.02.009",18358247
2928685,1,"10.1073/pnas.0800121105",18362358
3426519,1,"10.1038/nbt1392",18362881
89925,1,"10.1186/1471-2148-8-92",18366743
5614404,1,"10.1261/rna.972008",18367714
2892044,1,"10.1038/nature06783",18368051
929379,1,"10.1038/cgt.2008.8",18369380
181909,1,"10.1038/onc.2008.72",18372920
3926985,1,"10.1038/ncb1722",18376396
2589109,1,"10.1038/nsmb.1409",18376413
4445361,1,"10.1146/annurev.biochem.052208.151733",20205586
6033636,1,"10.1002/hed.21356",20213828
201993,1,"10.1038/nrm2868",20216554
3930527,1,"10.1177/153303461000900202",20218735
6238351,1,"10.1016/j.nbt.2010.02.016",20219708
2545554,1,"10.3390/ijerph121113981",26529003
1601924,1,"10.1016/j.jmb.2017.07.018",28757069
1636324,1,"10.1186/s12986-018-0305-8",30302122
1619667,1,"10.1515/hsz-2017-0329",29447113
5916254,1,"10.1101/gad.1540407",17437991
5241540,1,"10.1073/pnas.0702409104",17438277
5681966,1,"10.1093/nar/gkm024",17439965
1299066,1,"10.1016/j.cub.2007.04.005",17442570
3006135,1,"10.1371/journal.pcbi.0030067",17447837
1362399,1,"10.1515/bmc-2012-0024",25436558
876679,1,"10.1515/bmc-2013-0015",25436586
1089055,1,"10.1371/journal.pone.0006783",19710908
3456005,1,"10.1038/nsmb.1675",19713957
6400237,1,"10.1038/nsmb.1676",19713958
5302502,1,"10.1016/j.molcel.2009.08.004",19716330
6507244,1,"10.1186/1471-2164-10-413",19732433
5930631,1,"10.1038/nature08349",19734881
886603,1,"10.1002/wrna.1356",27184117
6123652,1,"10.1007/s11095-010-0105-y",20306121
505264,1,"10.1038/35053110",11201747
1518375,1,"10.1126/science.1076311",12242443
5891495,1,"10.1016/s0092-8674(02)00909-1",12297043
1777817,1,"10.1016/j.cell.2005.06.036",16009126
956242,1,"10.1016/j.cell.2005.06.023",16009129
6248820,1,"10.1038/nature01956",14508492
5985223,1,"10.1038/nature01957",14508493
892910,1,"10.1084/jem.20050678",16009718
1518418,1,"10.1126/science.1088710",14512631
3547611,1,"10.1242/dev.01942",16033795
1371645,1,"10.1038/35079635",11395776
2186150,1,"10.1016/j.gendis.2014.06.004",25473652
4685709,1,"10.1136/gutjnl-2014-307891",25475103
4908118,1,"10.4161/15384047.2014.955442",25482951
3645829,1,"10.1016/j.tcb.2014.11.004",25484347
5338875,1,"10.1016/j.pbi.2004.07.011",15337093
4472153,1,"10.1016/j.tibs.2004.07.001",15337119
3032222,1,"10.1261/rna.7131604",15337849
3060940,1,"10.1261/rna.7122604",15337850
6272819,1,"10.1186/gb-2004-5-9-115",15345038
2755385,1,"10.1186/gb-2004-5-9-r65",15345049
244268,1,"10.1186/gb-2004-5-9-r68",15345052
3404558,1,"10.1093/nar/gkh824",15356295
3854063,1,"10.1038/ng1421",15361871
3652939,1,"10.1101/gr.2722704",15364901
5580288,1,"10.1111/j.1349-7006.2010.01707.x",20735434
8153701,1,"10.1051/medsci/2007235509",17502067
4030353,1,"10.1089/dna.2006.0544",17504023
1505582,1,"10.1089/dna.2006.0555",17504024
1505581,1,"10.1089/dna.2006.0554",17504025
5714506,1,"10.1089/dna.2006.0550",17504027
4872070,1,"10.1089/dna.2006.0549",17504028
2166596,1,"10.1146/annurev.genom.8.080706.092351",17506656
3416037,1,"10.1146/annurev.cellbio.23.090506.123406",17506695
2813544,1,"10.1038/nature05878",17507927
6262442,1,"10.1038/nature05841",17507929
5211884,1,"10.1242/jcs.03450",17515481
1065800,1,"10.1016/j.ymgme.2007.03.011",17521938
4473207,1,"10.1016/j.cell.2007.05.016",17524464
474695,1,"10.1016/j.molcel.2008.10.017",19026782
